nta2020,parks_pct,park_coverage,park_area_m2
SI0191,0.9618320610687023,0.9076252037944436,552453.040096017
SI0201,0.7977099236641222,0.1404060152539889,1814220.5249889705
SI0202,0.6603053435114504,0.07385047579940121,740206.2159655582
SI0203,0.8816793893129771,0.37212142323667663,11180850.286096226
SI0204,0.8282442748091603,0.17544059245483987,5926644.600866888
SI0291,0.8931297709923665,0.557233078383807,6125760.349709769
SI0301,0.8206106870229007,0.159922696700446,1441469.7771995252
SI0302,0.46946564885496184,0.0373906720213638,703149.6739480493
SI0303,0.8587786259541985,0.21525659675210293,2350126.5279188827
SI0304,0.8358778625954199,0.19018492805190448,5523783.148497177
SI0305,0.7480916030534351,0.10403416413495041,2122831.347988324
SI0391,0.7862595419847328,0.13408773647338326,1032079.0148473238
SI9561,0.06870229007633588,0.000627432087379328,998.7676220021485
SI9591,0.030534351145038167,0.0,0.0
SI9592,0.851145038167939,0.20732791085217947,363111.2829394904
SI9593,0.683206106870229,0.08113128744291505,305486.8950958559
