nta2020,crime_pct,crime_per_km2,crime_count
MN0101,0.8931297709923665,1321.8017616673405,4113.0
MN0102,0.916030534351145,1421.217850189574,3124.0
MN0191,0.13740458015267176,25.77306765911978,50.0
MN0201,0.9770992366412213,2268.795216372032,4745.0
MN0202,0.9580152671755725,1896.0356766022942,3255.0
MN0203,0.9198473282442748,1501.4385694495297,3506.0
MN0301,0.9122137404580153,1402.4575138015578,2620.0
MN0302,0.9465648854961832,1807.8588197621718,4821.0
MN0303,0.9083969465648855,1394.2211678813435,4286.0
MN0401,0.8664122137404581,1259.3545204322295,6055.0
MN0402,0.9732824427480916,2230.542157483453,6647.0
MN0501,1.0,3511.9652427148244,8466.0
MN0502,0.9961832061068703,3109.182908416517,12373.0
MN0601,0.7213740458015268,789.5978081489054,713.0
MN0602,0.9656488549618321,1943.3051286726766,2369.0
MN0603,0.8587786259541985,1237.491521057281,3162.0
MN0604,0.8396946564885496,1143.082465797343,2434.0
MN0661,0.33969465648854963,163.99728766191384,29.0
MN0701,0.8702290076335878,1262.02119738918,3233.0
MN0702,0.7251908396946565,796.8901562611848,3285.0
MN0703,0.8473282442748091,1154.8887955564455,2474.0
MN0801,0.6984732824427481,705.1784588893669,2458.0
MN0802,0.8320610687022901,1140.7978373233389,3712.0
MN0803,0.767175572519084,999.1488689134109,2211.0
MN0901,0.6946564885496184,697.9325077660212,1804.0
MN0902,0.851145038167939,1191.591711614964,2077.0
MN0903,0.9045801526717557,1392.1373995436313,3614.0
MN1001,0.9694656488549618,2145.6333126546506,5024.0
MN1002,0.950381679389313,1873.4612961616285,7238.0
MN1101,0.9541984732824428,1891.2685914721176,5110.0
MN1102,0.9618320610687023,1920.0283427283382,8139.0
MN1191,0.366412213740458,190.6880368220296,726.0
MN1201,0.8969465648854962,1332.2888411980048,4552.0
MN1202,0.8206106870229007,1109.9620725193417,4470.0
MN1203,0.7824427480916031,1024.4702875832243,2405.0
MN1291,0.3816793893129771,215.12886171379355,271.0
MN1292,0.18702290076335878,46.079445311789684,75.0
MN6491,0.2824427480916031,120.20660963877289,747.0
QN0101,0.38549618320610685,220.8324565805129,2088.0
QN0102,0.5763358778625954,466.5204707358131,839.0
QN0103,0.648854961832061,603.8416107020473,2064.0
QN0104,0.6030534351145038,510.7625970478304,2156.0
QN0105,0.7061068702290076,727.3194662102328,3268.0
QN0151,0.030534351145038167,0.6786689839981487,2.0
QN0161,0.6106870229007634,512.8315894649334,374.0
QN0171,0.1450381679389313,26.705962197756627,19.0
QN0191,0.2748091603053435,115.25327917966571,50.0
QN0201,0.6564885496183206,616.4136178161558,2756.0
QN0202,0.44656488549618323,298.9489726107991,2310.0
